Country,Year,Month,Date,"M3 (UOM:INR(IndianRupees)), Scaling Factor:10000000","M3 Including Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Currency With The Public (UOM:INR(IndianRupees)), Scaling Factor:10000000","Demand Deposits With Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Time Deposits With Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Time Deposits With Banks Including Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Other Deposits With Reserve Bank (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Net Bank Credit To Government (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Net Bank Credit To Government Including Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Net Bank Credit To Government Including Merger From Reserve Bank (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Net Credit Of Other Banks To Government Including Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Net Bank Credit Of Other Banks Including Merger To Government Including Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Bank Credit To Commercial Sector (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Bank Credit To Commercial Sector Including Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Bank Credit To Commercial Sector From Reserve Bank (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Bank Credit To Commercial By Other Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Bank Credit To Commercial By Other Banks Includimg Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Net Foreign Exchange Assets Of Banking Sector (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Governments Currency Liabilities To The Public (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Banking Sectors Net Non Monetary Liabilities (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Banking Sectors Net Non Monetary Liabilities Including Merger (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sources Of Net Non Monetary Liabilities Of Reserve Bank Of India (Rbi) Under Banking Sectors Net Non-Monetary Liabilities (UOM:INR(IndianRupees)), Scaling Factor:10000000",observation_year,observation_month,observation_quarter,observation_week,observation_day,month_name,m3_pct_change,net_fx_assets_pct_change
India,"Calendar Year (Jan - Dec), 2001","January, 2001",2001-01-12,1274324.38,23143686.34,208372.14,151764.02,911903.63,17510888.64,2284.58757,501417.91,7250237.568,158394.78,343023.13,6005323.618,684498.68,14870756.57,13121.62,671377.06,14866712.37,235706.25,5065.83,152364.29,4087232.343,84646.18,2001,1,1,2,12,January,,
India,"Calendar Year (Jan - Dec), 2001","January, 2001",2001-01-26,1276357.61,23143686.34,205688.74,152637.44,915863.49,17510888.64,2167.93612,495940.01,7250237.568,150436.44,345503.57,6005323.618,687580.84,14870756.57,13161.75,674419.09,14866712.37,237783.81,5222.76,150169.81,4087232.343,82690.17,2001,1,1,4,26,January,0.15955356673003074,0.8814191392888304
India,"Calendar Year (Jan - Dec), 2001","February, 2001",2001-02-09,1288101.77,23143686.34,210692.92,153548.8,921676.24,17510888.64,2183.80612,501437.56,7250237.568,154055.06,347382.5,6005323.618,687194.49,14870756.57,11171.89,676022.6,14866712.37,241084.81,5222.76,146837.85,4087232.343,81959.57,2001,2,1,6,9,February,0.9201308401334263,1.3882358096625635
India,"Calendar Year (Jan - Dec), 2001","February, 2001",2001-02-23,1290683.45,23143686.34,208367.77,156438.49,923566.04,17510888.64,2311.15363,502789.81,7250237.568,152366.66,350423.15,6005323.618,665361.29,14870756.57,11371.25,653990.04,14866712.37,242117.59,5277.43,124862.67,4087232.343,82919.75,2001,2,1,8,23,February,0.2004251574003968,0.4283886653829505
India,"Calendar Year (Jan - Dec), 2001","March, 2001",2001-03-09,1301732.55,23143686.34,214189.29,158643.48,926725.69,17510888.64,2174.09363,510377.61,7250237.568,155503.77,354873.84,6005323.618,666967.86,14870756.57,11947.85,655020.01,14866712.37,243278.38,5277.43,124168.73,4087232.343,83340.33,2001,3,1,10,9,March,0.8560658308588431,0.4794323287292013
India,"Calendar Year (Jan - Dec), 2001","March, 2001",2001-03-23,1312558.07,23143686.34,211758.2,165304.76,933153.49,17510888.64,2341.61849,503037.48,7250237.568,144615.63,358421.85,6005323.618,674531.94,14870756.57,9376.59,665155.35,14866712.37,248628.57,5353.51,118993.43,4087232.343,81637.6,2001,3,1,12,23,March,0.8316239768299649,2.1992048779673645
India,"Calendar Year (Jan - Dec), 2001","March, 2001",2001-03-31,1313203.58,23143686.34,209550.14,166269.82,933770.74,17510888.64,3612.87849,511954.78,7250237.568,153876.73,358078.05,6005323.618,679218.47,14870756.57,13286.55,665931.92,14866712.37,249831.4,5353.51,133154.58,4087232.343,79373.53,2001,3,1,13,31,March,0.04917953839558287,0.4837859140645051
India,"Calendar Year (Jan - Dec), 2001","April, 2001",2001-04-06,1346493.54,23143686.34,212763.5,176789.84,953373.82,17510888.64,3566.37849,521933.62,7250237.568,149509.71,372423.91,6005323.618,691458.38,14870756.57,9072.01,682386.37,14866712.37,251693.36,5353.51,123945.33,4087232.343,82117.02,2001,4,2,14,6,April,2.5350189800731338,0.745286621297403
India,"Calendar Year (Jan - Dec), 2001","April, 2001",2001-04-20,1350598.11,23143686.34,220605.6,167527.55,959328.02,17510888.64,3136.938,531582.1,7250237.568,157021.32,374560.78,6005323.618,682570.32,14870756.57,11717.36,670852.96,14866712.37,252892.81,5413.64,121860.76,4087232.343,83499.57,2001,4,2,16,20,April,0.30483399125702526,0.4765521029239661
India,"Calendar Year (Jan - Dec), 2001","May, 2001",2001-05-04,1361229.01,23143686.34,225052.26,166698.2,966161.04,17510888.64,3317.508,536460.7,7250237.568,161815.82,374644.88,6005323.618,684414.74,14870756.57,11140.73,673274.01,14866712.37,252949.23,5413.64,118009.3,4087232.343,84974.49,2001,5,2,18,4,May,0.7871253425639546,0.02230984740136943
